,order,trainMAPE,trainMSE,trainMAE,testMAPE,testMSE,testMAE
84,"[6, 0, 3]",3464722757063.0425,46903.91740353538,140.99177675219016,6.01632526546317e+17,72586.88577864291,173.52888671690766
85,"[6, 0, 4]",3464722757074.085,46819.29685242564,141.38677976218756,1.2296445881575568e+17,72547.12304271672,173.52352607685958
86,"[6, 0, 6]",3464722757070.1743,47026.69723387111,140.88768990709775,6.643694433171329e+17,72585.0034823457,173.532072117124
87,"[6, 0, 8]",3464722757065.9517,45924.29022226889,140.8022729155333,3.295603527357447e+17,72567.4992817256,173.54626175874714
88,"[6, 0, 10]",3464722757064.496,45730.15877896326,140.6355700249318,2.8748291108730528e+17,72553.50500320349,173.5328118592918
89,"[6, 0, 16]",3464722757070.207,44711.10075706343,139.86289477797527,5.76534018859295e+17,72463.9508900448,173.4225320957575
90,"[6, 0, 24]",3464722757063.932,41547.4084433822,135.98739068062,7.03895169011873e+17,72511.29065891418,173.4655251854296
91,"[8, 0, 0]",3464722757068.2515,47336.18121264177,141.77920686812763,7.074132231885364e+17,72583.19806421001,173.55180515377467
92,"[8, 0, 1]",3464722757064.975,47032.07890641313,141.0266516007014,6.541276260924172e+17,72582.85322014552,173.52880798229788
93,"[8, 0, 2]",3464722757061.659,46846.64088767461,140.82450257296287,2.582346309819473e+17,72586.63441728512,173.5291217147618
94,"[8, 0, 3]",3464722757063.548,46565.41619368615,140.95021751155554,3.820551856289883e+17,72586.23233442834,173.52082605418585
95,"[8, 0, 4]",3464722757071.5625,46502.04079142563,140.91459404990007,1.5182953704137136e+17,72576.53961466787,173.51702238788172
96,"[8, 0, 6]",3464722757062.5723,45895.47039063113,141.18940414650257,1.716756139704078e+17,72532.06768553298,173.51280621903265
97,"[8, 0, 8]",3464722757064.371,46001.07895234667,140.93374302777738,3.5231076409459904e+17,72556.7015797254,173.533147252024
98,"[8, 0, 10]",3464722757063.7046,45279.354773010964,140.20832776481484,268355903911926.2,72631.55641587419,173.69685842933484
99,"[8, 0, 16]",3464722757060.8657,42710.316900502665,138.3022755205711,3.4918999774923757e+17,72507.07609817869,173.50743036582296
100,"[8, 0, 24]",3464722757108.6074,41489.922435192275,135.8966816953064,6.617436823757124e+17,72474.80530014473,173.44211353007856
101,"[10, 0, 0]",3464722757064.8794,47235.3729154903,141.7708557913764,7.035912400740271e+17,72581.51884754261,173.55489171309702
102,"[10, 0, 1]",3464722757068.3374,47226.239103158194,141.75604717059593,7.031461368331726e+17,72581.24311375344,173.55464278548465
103,"[10, 0, 2]",3464722757064.285,45918.53919267954,140.66755796509116,4.44192675075311e+17,72582.18491624299,173.5467227902112
104,"[10, 0, 3]",3464722757064.197,45710.098195561164,141.3560744376455,4.125101222722442e+17,72578.40759025778,173.58978658324048
105,"[10, 0, 4]",3464722757080.4863,45762.8019894401,141.2541138409384,4.382513020115519e+17,72573.14664419278,173.57683976226375
106,"[10, 0, 6]",3464722757089.6733,45589.78526480509,141.12980875837098,2.7939553908503203e+17,72597.98977888616,173.61255771037793
107,"[10, 0, 8]",3464722757062.3193,45024.78670770522,141.79045124999618,1952853.2732669094,72685.67978269003,173.70889747061688
108,"[10, 0, 10]",3464722757061.518,44464.489140581325,139.44445779810022,2.6394968459785894e+17,72569.30917998828,173.54673709592666
109,"[10, 0, 16]",3464722757063.264,42720.14205323618,138.50938882328046,1.7804972525253107e+17,72529.78259784328,173.5258299744469
110,"[10, 0, 24]",3464722757084.3096,41271.93907951851,135.9554836851043,5.957828195988526e+17,72451.59707724798,173.41498277943668
111,"[16, 0, 0]",3464722757065.029,45797.73720656045,140.67270496247815,6.79623744794458e+17,72565.01866341686,173.53710631383956
112,"[16, 0, 1]",3464722757066.662,45744.28762065393,140.47239746726316,6.764205514564849e+17,72566.16366558115,173.5429445664747
113,"[16, 0, 2]",3464722757083.536,45742.59495880571,140.48039511870522,6.764871079257002e+17,72565.89449236014,173.54227713758092
114,"[16, 0, 3]",3464722757060.314,44732.73058269635,140.83001154292313,3.8919277498981997e+17,72578.56999903974,173.55894698646773
115,"[16, 0, 4]",3464722757062.0786,44418.286471542044,139.65392187251854,4.1652300759909446e+17,72455.38614581081,173.42934622424323
116,"[16, 0, 6]",3464722757063.3335,43770.5525995612,139.21352849721742,4.934446002367196e+17,72462.87161245727,173.46094572149536
117,"[16, 0, 8]",3464722757063.077,43439.1348161365,138.73988054481052,3.9231174943197075e+17,72467.8426971844,173.41921403644002
118,"[16, 0, 10]",3464722757062.3726,42895.438486676845,138.0866554617113,2.3064781967388323e+17,72497.6327904042,173.49802938431887
119,"[16, 0, 16]",3464722757060.3286,42343.4513171925,136.5769937868476,3.503340373215243e+17,72444.8267403325,173.41674173212928
120,"[16, 0, 24]",3464722757063.489,40224.29246762426,134.61703466610024,1.0560567314854194e+17,72422.61438459596,173.35900972350814
121,"[24, 0, 0]",3464722757058.223,41466.37303743844,134.0848153335108,5.796757490162849e+17,72396.05779545139,173.34915663005017
122,"[24, 0, 1]",3464722757065.4927,40272.981495662905,134.1409558446075,5.955930426679333e+17,72407.48164155343,173.34673141443085
123,"[24, 0, 2]",3464722757059.3164,39775.26932745069,133.94997024420937,5.99864799284334e+17,72429.5882977866,173.35913852165967
124,"[24, 0, 3]",3464722757058.869,39679.30262678314,134.00849622027573,5.791079211130877e+17,72443.10528951894,173.3737755233982
125,"[24, 0, 4]",3464722757060.6943,39663.63576069107,134.0604576373791,5.843870450135217e+17,72450.30999513927,173.3830474058274
126,"[24, 0, 6]",3464722757058.889,39645.87623382986,134.1298421483633,5.790750618919684e+17,72461.48359805885,173.3916649321567
127,"[24, 0, 8]",3464722757063.334,39633.79221656097,133.99479452298343,5.86739101045045e+17,72446.83747047848,173.37655366326047
128,"[24, 0, 10]",3464722757060.051,39489.522948268655,133.63020490114826,5.80931854902806e+17,72432.88577881648,173.3916540768528
129,"[24, 0, 16]",3464722757059.482,39163.72939821153,133.48708491665604,2.4746319059006198e+17,72448.18825896335,173.40299876019967
130,"[24, 0, 24]",3464722757062.181,37730.80977061888,130.47733241905325,5.5321820685141384e+16,72420.89636245187,173.3436459025686
131,"[0, 1, 0]",5576366981628.409,67936.38473976435,176.31645696198814,1.021796259573006,372027.22410773416,559.3209949995048
132,"[0, 1, 1]",3464722757066.4463,59462.76534614447,153.7743948958552,1.0333085545263216,296130.6641412769,488.8270523018974
133,"[0, 1, 2]",3464722757065.332,48487.643051184685,142.4273192650688,113.1470841180751,72587.37213608192,173.56208718872074
134,"[0, 1, 3]",3464722757061.545,47724.157977237875,141.9543653019328,69.74525209142158,72598.7366055111,173.68188918538104
135,"[0, 1, 4]",3464722757061.824,47722.36754158505,141.96381366782308,69.74783530586866,72599.21171402826,173.68294097675593
136,"[0, 1, 6]",3464722757063.2773,47569.242500094944,142.0742334600896,69.67688117574751,72597.49146881231,173.68142204303481
137,"[0, 1, 8]",3464722757066.0093,47511.271872133446,141.89950593945497,69.72126274392643,72590.05590003818,173.66619002575075
138,"[0, 1, 10]",3464722757068.713,47291.72249860314,141.94882933704062,71.19083796772554,72583.83711316438,173.66085394075756
139,"[0, 1, 16]",3464722757063.358,46612.95870295821,141.39490084415309,69.42870589783062,72582.9974197377,173.66846975310426
140,"[0, 1, 24]",3464722757059.9326,43944.76399046585,140.54250874974852,69.06842665677902,72642.26938599936,173.7494229676986
141,"[1, 1, 0]",3464722757056.6416,64396.40932727123,166.82000715789135,1.0189072431018713,403023.16689566546,585.8591330782829
142,"[1, 1, 1]",3464722757067.3145,48134.83482396706,141.46282972838966,73.64420517289958,72609.06924584355,173.70054078442485
143,"[1, 1, 2]",3464722757067.575,47807.82575386746,142.0384716058961,69.74978600898456,72602.11519244996,173.6884906237939
