Time,PSEforecast,Load,ARIMALOAD,ARIMATD,ARIMATG
2022-05-26 06:00:00+02:00,20250.0,18477.213,20866.904568147256,18424.312799692365,17467.418036169118
2022-05-26 07:00:00+02:00,21300.0,20524.938,20232.56018202336,20469.351636421132,19358.84709131469
2022-05-26 08:00:00+02:00,21650.0,21140.325,19601.396901373857,21270.768587679275,19995.941548534884
2022-05-26 09:00:00+02:00,21650.0,20995.413,19015.896911607284,21717.76327208416,20016.90862841615
2022-05-26 10:00:00+02:00,21500.0,20849.713,18513.88882900549,21684.079177855805,19641.20638447251
2022-05-26 11:00:00+02:00,21800.0,21153.825,18127.75148863891,19799.873614142034,19851.061552722993
2022-05-26 12:00:00+02:00,21850.0,21572.15,17881.057123221406,22603.563377021655,19970.99496939152
2022-05-26 13:00:00+02:00,21850.0,21389.825,17788.155597028588,22463.58817829306,19956.93759658899
2022-05-26 14:00:00+02:00,21400.0,20912.138,17852.578795291716,21754.21512936158,19855.72610416648
2022-05-26 15:00:00+02:00,21500.0,20759.85,18067.600471696787,21526.473653898847,20103.25120571383
2022-05-26 16:00:00+02:00,21500.0,21163.188,18416.366165759457,21526.61599362278,20323.789217638092
2022-05-26 17:00:00+02:00,21400.0,20875.5,18873.559103394564,20920.38521648161,20421.516300026928
2022-05-26 18:00:00+02:00,21450.0,21006.775,19406.925948111664,21159.37126278021,20430.968760815962
2022-05-26 19:00:00+02:00,21500.0,21176.875,19979.76904210837,21464.079021959747,20462.866141103153
2022-05-26 20:00:00+02:00,21850.0,21453.163,20553.27943703084,21621.77143557586,20715.058802352338
2022-05-26 21:00:00+02:00,21850.0,21118.45,21089.297109457355,21342.85562834477,20237.058756532977
2022-05-26 22:00:00+02:00,20300.0,19713.538,21552.729027393616,19743.315073098624,18703.799769002842
2022-05-26 23:00:00+02:00,18850.0,18226.575,21913.922679420062,18300.025796295497,17139.530237159484
2022-05-27 00:00:00+02:00,17349.0,17035.3,21652.01982939129,17550.963830428296,16001.648405392249
2022-05-27 01:00:00+02:00,16651.0,16374.8,21856.20222964722,16795.71283452468,15364.07791565555
2022-05-27 02:00:00+02:00,16250.0,15995.463,21893.899115445205,16324.779795586786,15033.084164246631
2022-05-27 03:00:00+02:00,16250.0,16099.6,21764.32224560199,16322.579077968983,14996.828437991413
2022-05-27 04:00:00+02:00,16300.0,16064.263,21479.683510753337,16082.524963368123,14955.085562038996
2022-05-27 05:00:00+02:00,17300.0,16389.088,21060.77397729145,16510.324983043225,15203.609148474754
2022-05-27 06:00:00+02:00,20449.0,18602.575,20538.156959138218,18779.748708973748,17526.413396941043
2022-05-27 07:00:00+02:00,21450.0,20775.388,19947.883948775536,20903.447481392945,19508.180499567155
2022-05-27 08:00:00+02:00,21850.0,21653.538,19330.653674973844,21596.87682103821,20232.250606281345
2022-05-27 09:00:00+02:00,21850.0,21831.813,18727.7354215675,21198.431006072893,19997.197092712646
2022-05-27 10:00:00+02:00,21800.0,21645.95,18179.21919478384,21021.689970581454,19596.815424239936
2022-05-27 11:00:00+02:00,22100.0,21876.35,17720.575288543572,20522.39861414203,20070.35322363812
2022-05-27 12:00:00+02:00,22150.0,22237.175,17380.98691612571,23268.588377021653,20202.368145981607
2022-05-27 13:00:00+02:00,22201.0,21889.538,17181.026341694807,22963.301178293063,20320.21405190363
2022-05-27 14:00:00+02:00,22050.0,21439.213,17131.80499710705,22281.29012936158,19981.716690966074
2022-05-27 15:00:00+02:00,22000.0,21364.013,17234.09124964169,22130.63665389885,20192.44720412756
2022-05-27 16:00:00+02:00,21900.0,21182.513,17478.659665909487,21545.940993622786,20228.14868848003
2022-05-27 17:00:00+02:00,21850.0,20907.138,17846.885603992563,20952.023216481608,20213.857534059745
2022-05-27 18:00:00+02:00,21851.0,20810.975,18312.279817360537,20963.571262780206,20230.542733506856
2022-05-27 19:00:00+02:00,21900.0,21160.475,18842.26780669384,21447.679021959746,20239.90383197748
2022-05-27 20:00:00+02:00,22000.0,21239.2,19400.54389305643,21407.808435575862,20388.8156577014
2022-05-27 21:00:00+02:00,21900.0,20832.013,19949.479861951288,21056.418628344767,20079.787248304357
2022-05-27 22:00:00+02:00,20300.0,19438.063,20452.704203451387,19467.84007309862,18493.883163706654
2022-05-27 23:00:00+02:00,18850.0,18291.063,20877.46049890993,18364.513796295494,17119.000299079107
2022-05-28 00:00:00+02:00,17350.0,17007.963,21597.467101731338,16864.8802488219,15797.341382586139
2022-05-28 01:00:00+02:00,16450.0,16261.163,21692.66448382056,16040.3359403442,14991.449152123927
2022-05-28 02:00:00+02:00,15900.0,15703.213,21653.80786696923,15480.89173366153,14498.6089884997
2022-05-28 03:00:00+02:00,15650.0,15581.85,21487.85369526544,15355.065260484898,14252.183130477499
2022-05-28 04:00:00+02:00,15600.0,15148.725,21206.23869806288,15104.82346688785,13992.057075576984
2022-05-28 05:00:00+02:00,15400.0,14931.413,20830.884690948664,14852.74598813684,13658.20953776042
2022-05-28 06:00:00+02:00,16900.0,15659.675,20387.261014345066,15456.024144624105,14386.931373820122
2022-05-28 07:00:00+02:00,18150.0,16907.55,19906.806369900754,16781.61346359424,15537.631457106114
2022-05-28 08:00:00+02:00,19350.0,17778.338,19421.471505084635,18229.399356489634,16825.097027955326
2022-05-28 09:00:00+02:00,19900.0,18367.05,18964.136583223444,19051.273288664812,17226.78863895781
2022-05-28 10:00:00+02:00,20000.0,18359.65,18564.4040779508,19179.30914470482,17154.129714531417
2022-05-28 11:00:00+02:00,20000.0,18779.75,18248.247667343618,17425.79861414203,17359.302729079085
2022-05-28 12:00:00+02:00,19900.0,18811.975,18035.1159982409,19843.388377021656,17299.445722257955
2022-05-28 13:00:00+02:00,19600.0,18175.65,17937.704867147437,19249.413178293064,17117.215252501635
2022-05-28 14:00:00+02:00,19200.0,17605.75,17960.47047810416,18447.827129361576,16364.570695723478
2022-05-28 15:00:00+02:00,18800.0,17734.238,18100.055510867613,18500.86165389885,16090.878911825088
2022-05-28 16:00:00+02:00,18650.0,17532.263,18345.178949017027,17895.690993622786,16387.31431912311
2022-05-28 17:00:00+02:00,18650.0,17692.988,18677.87661610085,17737.873216481607,16438.471650975716
2022-05-28 18:00:00+02:00,18650.0,17637.425,19074.523254664924,17790.021262780207,16477.857300597865
2022-05-28 19:00:00+02:00,18650.0,18174.45,19507.71833314302,18461.65402195975,16729.4414955742
2022-05-28 20:00:00+02:00,18900.0,18517.538,19947.99828553394,18686.146435575865,16878.64770189144
2022-05-28 21:00:00+02:00,18850.0,18325.225,20365.966832354778,18549.63062834477,16769.351580266255
2022-05-28 22:00:00+02:00,17750.0,17427.213,20734.14455178976,17456.990073098623,15682.003769163266
2022-05-28 23:00:00+02:00,16450.0,16210.55,21028.84991380228,16284.000796295491,14481.096499683552
2022-05-29 00:00:00+02:00,15250.0,15088.525,17964.242465809515,14744.726213549919,13385.76273132724
2022-05-29 01:00:00+02:00,14600.0,14322.05,18266.36893446431,14257.650410721806,12876.223702098181
2022-05-29 02:00:00+02:00,14050.0,13922.8,18445.309124521253,13866.47075522293,12622.621838522946
2022-05-29 03:00:00+02:00,13850.0,13821.625,18493.53720810342,13705.450297229527,12346.733798395742
2022-05-29 04:00:00+02:00,13700.0,13342.3,18408.18387761494,13221.361717076914,12009.787775248942
2022-05-29 05:00:00+02:00,13200.0,13031.875,18198.510105909256,12893.789634645189,11598.72791063273
2022-05-29 06:00:00+02:00,14150.0,13438.725,17879.371239484153,13206.89438714365,11975.53489229725
2022-05-29 07:00:00+02:00,15050.0,14232.8,17474.64743600399,14000.784749878288,12673.565904679584
2022-05-29 08:00:00+02:00,16000.0,15147.413,17011.985427047377,14528.548070436695,13588.232434262509
2022-05-29 09:00:00+02:00,16900.0,15762.663,16523.65485810508,15661.345769127935,14562.295850621802
2022-05-29 10:00:00+02:00,17400.0,15984.413,16042.16135546536,16018.585704116002,14907.73569797149
